chinese	english	french	english_source	french_source
奶茶在哪里？	Where is the milk tea?	Où est le thé au lait ?	Pangmao	Pangmao
我不是笨蛋。	I'm not an idiot.	Je ne suis pas idiot.	Pangmao	Pangmao
你很像你哥哥。	You look a lot like your older brother.	Tu ressembles beaucoup à ton frère aîné.	Pangmao	Pangmao
我上次去市中心买了三个肉夹馍。	Last time, I went downtown and bought three roujiamos.	La dernière fois, je suis allé en centre-ville acheter trois roujiamos.	Pangmao	Pangmao
肉夹馍是西安很有名的小吃。	Roujiamo is a famous Xi'an specialty.	Le roujiamo est une spécialité célèbre de Xi’an.	Pangmao	Pangmao
我喜欢喝奶茶。	I like drinking milk tea.	J’aime boire du thé au lait.	Pangmao	Pangmao
我想买一杯热奶茶。	I'd like to buy a hot milk tea.	Je voudrais acheter un thé au lait chaud.	Pangmao	Pangmao
爸比，我想你了。	Daddy, I miss you.	Papa, tu me manques.	Pangmao	Pangmao
“奶茶婊”是带有贬义的网络用语。	“Milk-tea girl” is derogatory Internet slang.	« Fille au thé au lait » est une expression péjorative de l’argot Internet chinois.	Pangmao	Pangmao
牛奶在冰箱里。	The milk is in the fridge.	Le lait est dans le réfrigérateur.	Pangmao	Pangmao
奶奶每天早上散步。	Grandma takes a walk every morning.	Grand-mère se promène tous les matins.	Pangmao	Pangmao
你是不是一个大笨蛋？	Are you a complete idiot?	Tu es vraiment un gros imbécile ?	Pangmao	Pangmao
他是从法国来的。	He is from France.	Il vient de France.	Tatoeba	Pangmao
你会说中文吗?	Do you speak Chinese?	Parles-tu chinois ?	Tatoeba	Pangmao
你幾歲?	How old are you?	Quel âge as-tu ?	Tatoeba	Pangmao
很高兴认识你。	I am delighted to meet you.	Ravi de te rencontrer.	Tatoeba	Pangmao
我是中国人。	I am Chinese.	Je suis chinois.	Tatoeba	Pangmao
我是英国人。	I'm British.	Je suis britannique.	Tatoeba	Pangmao
春天就要来了。	Spring will come soon.	Le printemps arrive bientôt.	Tatoeba	Pangmao
请坐。	Please take your seat.	Asseyez-vous, s'il vous plaît.	Tatoeba	Pangmao
