chinese_id	chinese	french_id	french	positive_reviews
333158	晚上好。	333159	Bonsoir !	2
334343	他正在打电话。	1074051	Il est en train de parler au téléphone.	2
334413	怎么了？	391060	Que se passe-t-il ?	2
335058	祝贺你。	3253	Félicitations.	2
335381	早上好！	373345	Bonjour !	3
347051	先到先得。	8332	Premier arrivé, premier servi.	2
375350	我们7点左右碰头。	10116	On se voit vers 7 heures.	2
383389	發生了甚麼事？	391060	Que se passe-t-il ?	2
482716	这不可能。	561390	C'est impossible.	2
503082	活到老，学到老。	810831	On apprend à tout âge.	2
617889	“pretty”怎么拼写？	135721	Comment épelle-t-on « pretty » ?	2
772401	我們完蛋了。	776958	Les carottes sont cuites.	2
777935	回答問題。	128225	Réponds à la question.	2
917754	奇怪。	1010112	Étrange.	2
1140349	我不会游泳。	1140341	Je ne sais pas nager.	2
1480125	今天是我的生日。	985620	Aujourd'hui, c'est mon anniversaire.	2
4857568	你好。	373345	Bonjour !	3
10329833	她是一名教授。	545019	Elle est professeur.	2
