traditional	simplified	pinyin	language	definition	source	source_page	part_of_speech
真的	真的	zhen1 de5	fr	vraiment; réellement; en effet	Pangmao		adverb
真的	真的	zhen1 de5	fr	vrai; réel; authentique	Pangmao		adjective
真的	真的	zhen1 de5	fr	(mathématiques) propre	Pangmao		adjective
遊戲	游戏	you2 xi4	fr	jeu	Pangmao		noun
遊戲	游戏	you2 xi4	fr	jouer	Pangmao		verb
所有人	所有人	suo3 you3 ren2	fr	tout le monde; toutes les personnes	Pangmao		pronoun
所有人	所有人	suo3 you3 ren2	fr	propriétaire; détenteur	Pangmao		noun
台灣	台湾	Tai2 wan1	fr	variante de 臺灣 : Taïwan	Pangmao		proper noun
世界語	世界语	Shi4 jie4 yu3	fr	espéranto	Pangmao		proper noun
中國人	中国人	Zhong1 guo2 ren2	fr	personne chinoise; Chinois; Chinoise	Pangmao		noun
阿爾及利亞	阿尔及利亚	A1 er3 ji2 li4 ya4	fr	Algérie	Pangmao		proper noun
槍	枪	Qiang1	fr	nom de famille Qiang	Pangmao		proper noun
槍	枪	Qiang1	fr	arme à feu; fusil; pistolet	Pangmao		noun
槍	枪	Qiang1	fr	lance	Pangmao		noun
槍	枪	Qiang1	fr	objet dont la forme ou la fonction rappelle une arme	Pangmao		noun
槍	枪	Qiang1	fr	se substituer à quelqu'un lors d'un examen	Pangmao		verb
槍	枪	Qiang1	fr	heurter; frapper	Pangmao		verb
槍	枪	Qiang1	fr	classificateur des coups de feu	Pangmao		classifier
三明治	三明治	san1 ming2 zhi4	fr	sandwich	Pangmao		noun
南希	南希	Nan2 xi1	fr	Nancy, ville de France	Pangmao		proper noun
阿拉伯語	阿拉伯语	A1 la1 bo2 yu3	fr	arabe; langue arabe	Pangmao		noun
生菜	生菜	sheng1 cai4	fr	laitue; salade verte	Pangmao		noun
生菜	生菜	sheng1 cai4	fr	légumes-feuilles frais consommés crus	Pangmao		noun
沒問題	没问题	mei2 wen4 ti2	fr	pas de problème	Pangmao		interjection
鎖	锁	suo3	fr	verrouiller; fermer à clé	Pangmao		verb
鎖	锁	suo3	fr	serrure; verrou; cadenas	Pangmao		noun
愛丁堡	爱丁堡	Ai4 ding1 bao3	fr	Édimbourg, capitale de l'Écosse	Pangmao		proper noun
蘇	苏	Su1	fr	nom de famille Su	Pangmao		proper noun
蘇	苏	Su1	fr	abréviation de l'Union soviétique	Pangmao		proper noun
蘇	苏	Su1	fr	abréviation du Jiangsu ou de Suzhou	Pangmao		proper noun
蘇	苏	Su1	fr	pérille de Nankin (Perilla frutescens)	Pangmao		noun
蘇	苏	Su1	fr	reprendre connaissance; ressusciter	Pangmao		verb
蘇	苏	Su1	fr	utilisé dans des transcriptions phonétiques	Pangmao		particle
蘋果汁	苹果汁	ping2 guo3 zhi1	fr	jus de pomme	Pangmao		noun
西班牙人	西班牙人	Xi1 ban1 ya2 ren2	fr	personne espagnole; Espagnol; Espagnole	Pangmao		noun
一點點	一点点	yi1 dian3 dian3	fr	un tout petit peu; un peu	Pangmao		adverb
